,date,time,loc,population,wd
140,20200706,20,11410585,54865.9645,120
141,20200706,21,11410585,50851.4096,121
142,20200706,22,11410585,45285.902,122
143,20200706,23,11410585,39890.5098,123
144,20200707,00,11410585,38731.0441,200
145,20200707,01,11410585,38013.4718,201
146,20200707,02,11410585,37724.5119,202
147,20200707,03,11410585,37631.859,203
148,20200707,04,11410585,37788.3217,204
149,20200707,05,11410585,38958.5103,205
150,20200707,06,11410585,41472.6746,206
151,20200707,07,11410585,48646.509,207
152,20200707,08,11410585,56080.1353,208
153,20200707,09,11410585,63152.4559,209
154,20200707,10,11410585,68291.3283,210
155,20200707,11,11410585,69271.0513,211
156,20200707,12,11410585,70875.0562,212
157,20200707,13,11410585,74292.3201,213
158,20200707,14,11410585,74430.0273,214
159,20200707,15,11410585,72318.4029,215
160,20200707,16,11410585,68732.9204,216
161,20200707,17,11410585,63243.7007,217
162,20200707,18,11410585,60237.5658,218
163,20200707,19,11410585,58099.1386,219
164,20200707,20,11410585,54904.8552,220
165,20200707,21,11410585,50791.5734,221
166,20200707,22,11410585,46491.7865,222
167,20200707,23,11410585,40368.0001,223
168,20200708,00,11410585,38985.2594,300
169,20200708,01,11410585,38370.8727,301
170,20200708,02,11410585,38004.7138,302
171,20200708,03,11410585,37849.5282,303
172,20200708,04,11410585,37925.2277,304
173,20200708,05,11410585,39146.2622,305
174,20200708,06,11410585,41769.315,306
175,20200708,07,11410585,48404.1154,307
176,20200708,08,11410585,56246.5387,308
177,20200708,09,11410585,62917.6682,309
178,20200708,10,11410585,67374.4015,310
179,20200708,11,11410585,68654.7084,311
180,20200708,12,11410585,70220.3217,312
181,20200708,13,11410585,74217.8669,313
182,20200708,14,11410585,74442.5489,314
183,20200708,15,11410585,72666.3342,315
184,20200708,16,11410585,69475.7832,316
185,20200708,17,11410585,64273.4505,317
186,20200708,18,11410585,60857.4445,318
187,20200708,19,11410585,59143.8372,319
188,20200708,20,11410585,55850.3397,320
189,20200708,21,11410585,51961.3992,321
190,20200708,22,11410585,45950.5166,322
191,20200708,23,11410585,39667.289,323
192,20200709,00,11410585,39206.4087,400
193,20200709,01,11410585,38677.1212,401
194,20200709,02,11410585,38216.1039,402
195,20200709,03,11410585,38000.5355,403
196,20200709,04,11410585,38050.79,404
197,20200709,05,11410585,39143.8965,405
198,20200709,06,11410585,42037.672,406
199,20200709,07,11410585,48612.8633,407
200,20200709,08,11410585,56311.9213,408
201,20200709,09,11410585,62842.6182,409
202,20200709,10,11410585,67523.5081,410
203,20200709,11,11410585,69019.6383,411
204,20200709,12,11410585,70288.8858,412
205,20200709,13,11410585,74219.8584,413
206,20200709,14,11410585,75032.0489,414
207,20200709,15,11410585,73290.5874,415
208,20200709,16,11410585,69823.7479,416
209,20200709,17,11410585,64098.9076,417
210,20200709,18,11410585,61216.125,418
211,20200709,19,11410585,58438.2719,419
212,20200709,20,11410585,55431.9371,420
213,20200709,21,11410585,51520.7591,421
214,20200709,22,11410585,46123.5669,422
215,20200709,23,11410585,40299.8899,423
216,20200710,00,11410585,39141.2844,500
217,20200710,01,11410585,38490.7984,501
218,20200710,02,11410585,38032.4012,502
219,20200710,03,11410585,37862.8483,503
220,20200710,04,11410585,37930.0135,504
221,20200710,05,11410585,39057.9232,505
222,20200710,06,11410585,41696.2453,506
223,20200710,07,11410585,48870.1843,507
224,20200710,08,11410585,55904.2702,508
225,20200710,09,11410585,62670.2228,509
226,20200710,10,11410585,66132.3918,510
227,20200710,11,11410585,67708.6973,511
228,20200710,12,11410585,68387.9234,512
229,20200710,13,11410585,70959.3791,513
230,20200710,14,11410585,72277.4895,514
231,20200710,15,11410585,70230.388,515
232,20200710,16,11410585,67546.8183,516
233,20200710,17,11410585,62430.686,517
234,20200710,18,11410585,60839.718,518
235,20200710,19,11410585,59722.7869,519
236,20200710,20,11410585,57337.3638,520
237,20200710,21,11410585,54025.2676,521
238,20200710,22,11410585,48462.4038,522
239,20200710,23,11410585,43104.1227,523
240,20200711,00,11410585,41654.1542,600
241,20200711,01,11410585,40205.5949,601
242,20200711,02,11410585,39367.242,602
243,20200711,03,11410585,38851.3817,603
244,20200711,04,11410585,38498.9875,604
245,20200711,05,11410585,39313.4164,605
246,20200711,06,11410585,39940.2405,606
247,20200711,07,11410585,41027.6491,607
248,20200711,08,11410585,44012.343,608
249,20200711,09,11410585,47329.498,609
250,20200711,10,11410585,50130.4127,610
251,20200711,11,11410585,52052.4501,611
252,20200711,12,11410585,54250.9181,612
253,20200711,13,11410585,55917.42,613
254,20200711,14,11410585,57090.1738,614
255,20200711,15,11410585,58181.095,615
256,20200711,16,11410585,57751.7185,616
257,20200711,17,11410585,57600.3731,617
258,20200711,18,11410585,58440.2554,618
259,20200711,19,11410585,57692.9439,619
260,20200711,20,11410585,55260.6038,620
261,20200711,21,11410585,52272.8241,621
262,20200711,22,11410585,46960.4973,622
263,20200711,23,11410585,40556.707,623
264,20200712,00,11410585,39853.9974,700
265,20200712,01,11410585,38902.7022,701
266,20200712,02,11410585,38055.2498,702
267,20200712,03,11410585,37761.586,703
268,20200712,04,11410585,37418.0164,704
269,20200712,05,11410585,37684.3847,705
270,20200712,06,11410585,37824.6472,706
271,20200712,07,11410585,37873.7545,707
272,20200712,08,11410585,38449.7998,708
273,20200712,09,11410585,40084.5363,709
274,20200712,10,11410585,42420.3624,710
275,20200712,11,11410585,43922.5007,711
276,20200712,12,11410585,46082.6937,712
277,20200712,13,11410585,48566.9183,713
278,20200712,14,11410585,50410.8532,714
279,20200712,15,11410585,51601.5741,715
280,20200712,16,11410585,51960.5797,716
281,20200712,17,11410585,51470.7838,717
282,20200712,18,11410585,51892.9113,718
283,20200712,19,11410585,50580.9775,719
284,20200712,20,11410585,48053.3376,720
285,20200712,21,11410585,45223.6045,721
286,20200712,22,11410585,41782.2244,722
287,20200712,23,11410585,38523.268,723
288,20200713,00,11410585,37273.7179,100
289,20200713,01,11410585,36948.638,101
290,20200713,02,11410585,36555.8955,102
291,20200713,03,11410585,36393.9397,103
292,20200713,04,11410585,36514.7628,104
293,20200713,05,11410585,37654.893,105
294,20200713,06,11410585,39876.4041,106
295,20200713,07,11410585,46280.4692,107
296,20200713,08,11410585,54353.8184,108
297,20200713,09,11410585,60853.5723,109
298,20200713,10,11410585,65307.001,110
299,20200713,11,11410585,67206.0758,111
300,20200713,12,11410585,68261.4098,112
301,20200713,13,11410585,70660.4126,113
302,20200713,14,11410585,71898.5795,114
303,20200713,15,11410585,69841.7398,115
304,20200713,16,11410585,65960.8166,116
305,20200713,17,11410585,60252.9553,117
306,20200713,18,11410585,58291.1915,118
307,20200713,19,11410585,56173.7812,119
308,20200713,20,11410585,53061.3528,120
309,20200713,21,11410585,49952.9492,121
310,20200713,22,11410585,44492.1272,122
311,20200713,23,11410585,39618.0133,123
312,20200714,00,11410585,38639.3405,200
313,20200714,01,11410585,38041.7728,201
314,20200714,02,11410585,37757.2054,202
315,20200714,03,11410585,37752.5257,203
316,20200714,04,11410585,37894.0497,204
317,20200714,05,11410585,38812.677,205
318,20200714,06,11410585,41532.802,206
319,20200714,07,11410585,48090.0751,207
320,20200714,08,11410585,56353.466,208
321,20200714,09,11410585,63743.4008,209
322,20200714,10,11410585,67664.7231,210
323,20200714,11,11410585,68877.297,211
324,20200714,12,11410585,70649.3991,212
325,20200714,13,11410585,74653.0535,213
326,20200714,14,11410585,74989.2518,214
327,20200714,15,11410585,73231.2826,215
328,20200714,16,11410585,69279.1458,216
329,20200714,17,11410585,63618.4328,217
330,20200714,18,11410585,61277.7561,218
331,20200714,19,11410585,58423.3961,219
332,20200714,20,11410585,55241.3613,220
333,20200714,21,11410585,51276.3444,221
334,20200714,22,11410585,45618.8585,222
335,20200714,23,11410585,40311.3005,223
336,20200715,00,11410585,39064.7553,300
337,20200715,01,11410585,38481.5676,301
338,20200715,02,11410585,38038.8472,302
339,20200715,03,11410585,38118.7889,303
340,20200715,04,11410585,38210.1299,304
341,20200715,05,11410585,39378.7362,305
342,20200715,06,11410585,41767.0573,306
343,20200715,07,11410585,48727.0255,307
344,20200715,08,11410585,56475.7719,308
345,20200715,09,11410585,63925.086,309
346,20200715,10,11410585,67740.7197,310
347,20200715,11,11410585,69441.6714,311
348,20200715,12,11410585,71547.0622,312
349,20200715,13,11410585,74983.1531,313
350,20200715,14,11410585,76205.8591,314
351,20200715,15,11410585,74143.6141,315
352,20200715,16,11410585,70270.6029,316
353,20200715,17,11410585,65089.7032,317
354,20200715,18,11410585,62355.2109,318
355,20200715,19,11410585,59719.4908,319
356,20200715,20,11410585,56703.7873,320
357,20200715,21,11410585,52700.2769,321
358,20200715,22,11410585,46427.2773,322
359,20200715,23,11410585,40036.4129,323
360,20200716,00,11410585,39648.7203,400
361,20200716,01,11410585,38877.8411,401
362,20200716,02,11410585,38522.436,402
363,20200716,03,11410585,38314.0558,403
364,20200716,04,11410585,38352.7551,404
365,20200716,05,11410585,39487.9777,405
366,20200716,06,11410585,42021.1549,406
367,20200716,07,11410585,48508.4302,407
368,20200716,08,11410585,56819.609,408
369,20200716,09,11410585,63675.7418,409
370,20200716,10,11410585,68112.7247,410
371,20200716,11,11410585,69353.6847,411
372,20200716,12,11410585,71148.888,412
373,20200716,13,11410585,74464.1266,413
374,20200716,14,11410585,75585.1122,414
375,20200716,15,11410585,73233.3645,415
376,20200716,16,11410585,70006.779,416
377,20200716,17,11410585,63812.3863,417
378,20200716,18,11410585,61757.0399,418
379,20200716,19,11410585,59990.3633,419
380,20200716,20,11410585,56557.2427,420
381,20200716,21,11410585,52632.7683,421
382,20200716,22,11410585,47122.5015,422
383,20200716,23,11410585,40888.3882,423
384,20200717,00,11410585,39734.4987,500
385,20200717,01,11410585,38923.6886,501
386,20200717,02,11410585,38655.4835,502
387,20200717,03,11410585,38273.5817,503
388,20200717,04,11410585,38370.9474,504
389,20200717,05,11410585,39416.4693,505
390,20200717,06,11410585,42252.3425,506
391,20200717,07,11410585,48706.3321,507
392,20200717,08,11410585,55793.1942,508
393,20200717,09,11410585,62547.3253,509
394,20200717,10,11410585,66762.5852,510
395,20200717,11,11410585,67924.7429,511
396,20200717,12,11410585,69304.734,512
397,20200717,13,11410585,71892.3936,513
398,20200717,14,11410585,73032.6845,514
399,20200717,15,11410585,71881.5983,515
400,20200717,16,11410585,68361.0979,516
401,20200717,17,11410585,63117.6971,517
402,20200717,18,11410585,60598.4927,518
403,20200717,19,11410585,60261.5807,519
404,20200717,20,11410585,57824.8049,520
405,20200717,21,11410585,54218.5362,521
406,20200717,22,11410585,48621.0227,522
407,20200717,23,11410585,43007.3018,523
408,20200718,00,11410585,41169.3655,600
409,20200718,01,11410585,39693.7228,601
410,20200718,02,11410585,39077.5045,602
411,20200718,03,11410585,38681.1638,603
412,20200718,04,11410585,38578.8062,604
413,20200718,05,11410585,39035.6319,605
414,20200718,06,11410585,39857.7181,606
415,20200718,07,11410585,40942.1206,607
416,20200718,08,11410585,44073.8314,608
417,20200718,09,11410585,47999.5294,609
418,20200718,10,11410585,50357.5862,610
419,20200718,11,11410585,52309.0892,611
420,20200718,12,11410585,54388.5355,612
421,20200718,13,11410585,57257.4886,613
422,20200718,14,11410585,58763.0074,614
423,20200718,15,11410585,60043.7182,615
424,20200718,16,11410585,60343.26,616
425,20200718,17,11410585,59551.0222,617
426,20200718,18,11410585,59326.5437,618
427,20200718,19,11410585,57918.4109,619
428,20200718,20,11410585,55026.5534,620
429,20200718,21,11410585,51464.4634,621
430,20200718,22,11410585,46412.9506,622
431,20200718,23,11410585,40619.8502,623
432,20200719,00,11410585,40015.0764,700
433,20200719,01,11410585,38795.6286,701
434,20200719,02,11410585,38069.0053,702
435,20200719,03,11410585,37742.0155,703
436,20200719,04,11410585,37307.276,704
437,20200719,05,11410585,37469.3292,705
438,20200719,06,11410585,37716.9774,706
439,20200719,07,11410585,38403.8933,707
440,20200719,08,11410585,39516.6001,708
441,20200719,09,11410585,40987.9252,709
442,20200719,10,11410585,43537.219,710
443,20200719,11,11410585,45879.8293,711
444,20200719,12,11410585,48270.9195,712
445,20200719,13,11410585,50195.4578,713
446,20200719,14,11410585,51732.7232,714
447,20200719,15,11410585,52782.5004,715
448,20200719,16,11410585,52640.4234,716
449,20200719,17,11410585,53217.1581,717
450,20200719,18,11410585,52934.0626,718
451,20200719,19,11410585,51159.6814,719
452,20200719,20,11410585,48822.3575,720
453,20200719,21,11410585,45602.0443,721
454,20200719,22,11410585,42454.8489,722
455,20200719,23,11410585,38306.1463,723
456,20200720,00,11410585,37321.7058,100
457,20200720,01,11410585,37032.9462,101
458,20200720,02,11410585,36743.4499,102
459,20200720,03,11410585,36717.2209,103
460,20200720,04,11410585,36753.1424,104
461,20200720,05,11410585,37815.6907,105
462,20200720,06,11410585,40406.4864,106
463,20200720,07,11410585,46955.6352,107
464,20200720,08,11410585,53983.9456,108
465,20200720,09,11410585,61406.3531,109
466,20200720,10,11410585,65371.5812,110
467,20200720,11,11410585,66820.4346,111
468,20200720,12,11410585,68617.47,112
469,20200720,13,11410585,71803.6323,113
470,20200720,14,11410585,73246.7572,114
471,20200720,15,11410585,71652.0775,115
472,20200720,16,11410585,67665.3813,116
473,20200720,17,11410585,62169.205,117
474,20200720,18,11410585,59699.8307,118
